"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Haushaltsgrösse - Total","1 Person","2 Personen","3 Personen","4 Personen","5 Personen","6 oder mehr Personen"
"2023","......0339 Rohrbachgraben",374,37,124,57,48,65,43
"2023","......0340 Rütschelen",560,64,180,87,120,50,59
"2023","......0341 Schwarzhäusern",522,54,190,108,88,70,12
"2023","......0342 Thunstetten",3441,523,1156,534,784,290,154
"2023","......0344 Ursenbach",878,127,280,153,172,110,36
"2023","......0345 Wynau",1680,244,564,291,312,150,119
"2023","......0953 Eriswil",1312,225,444,156,264,150,73
"2023","......0954 Huttwil",5017,955,1614,711,924,515,298
"2023","......0959 Walterswil (BE)",532,50,150,102,128,65,37
"2023","......0960 Wyssachen",1103,156,396,126,232,130,63
"2023","......0971 Attiswil",1531,246,546,261,320,125,33
"2023","......0972 Berken",46,7,14,3,4,5,13
"2023","......0973 Bettenhausen",684,117,250,96,160,55,6
"2023","......0975 Farnern",223,26,80,30,64,10,13
"2023","......0976 Graben",330,52,94,57,60,35,32
"2023","......0977 Heimenhausen",1190,163,426,189,292,95,25
"2023","......0979 Herzogenbuchsee",7326,1343,2314,1038,1484,845,302
"2023","......0980 Inkwil",668,108,274,102,108,55,21
"2023","......0981 Niederbipp",5345,802,1576,996,1148,510,313
"2023","......0982 Niederönz",1762,263,608,285,412,145,49
"2023","......0983 Oberbipp",1881,260,632,327,384,165,113
"2023","......0985 Ochlenberg",525,76,188,75,84,65,37
"2023","......0987 Rumisberg",492,68,196,90,92,40,6
"2023","......0988 Seeberg",1592,238,554,279,280,160,81
"2023","......0989 Thörigen",1179,192,386,168,316,85,32
"2023","......0990 Walliswil bei Niederbipp",224,42,88,30,44,20,0
"2023","......0991 Walliswil bei Wangen",604,94,250,63,136,55,6
"2023","......0992 Wangen an der Aare",2459,440,888,363,488,215,65
"2023","......0993 Wangenried",389,59,128,72,84,40,6
"2023","......0995 Wiedlisbach",2542,475,804,411,576,195,81
"2023",">> Verwaltungskreis Emmental",97623,15481,33296,14229,20816,9555,4246
"2023","......0401 Aefligen",1116,172,372,207,244,95,26
"2023","......0402 Alchenstorf",631,84,234,87,164,50,12
"2023","......0404 Burgdorf",16733,3217,5434,2475,3388,1520,699
